family,bucket,top_n,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows
CAP,SMALL,3,BASE,all,-0.13017005174623786,-0.6192112267714802,-0.8315606730970196,359,0.415041782729805,1077
CAP,SMALL,3,BASE,development_2021_2023,-0.2780270822522911,-0.5816986367837402,-2.638817623776365,181,0.36464088397790057,543
CAP,SMALL,3,BASE,oos_2024_2026,0.05367716742662587,-0.13625493444795944,0.3828005309166374,178,0.46629213483146065,534
CAP,SMALL,3,CONSERVATIVE,all,-0.19421474418602447,-0.6994136388815417,-1.3242548321247134,359,0.3871866295264624,1077
CAP,SMALL,3,CONSERVATIVE,development_2021_2023,-0.330911759683562,-0.6546477973948073,-3.210439656570045,181,0.3314917127071823,543
CAP,SMALL,3,CONSERVATIVE,oos_2024_2026,-0.024638137351615352,-0.19144044320181897,-0.04601712331965268,178,0.4438202247191011,534
CAP,MID,3,BASE,all,-0.03922534913883069,-0.5268456811104985,-0.158619608953811,359,0.4401114206128134,1077
CAP,MID,3,BASE,development_2021_2023,-0.24024767764587784,-0.5151904035300912,-1.9452971732745024,181,0.35911602209944754,543
CAP,MID,3,BASE,oos_2024_2026,0.22404917779916866,-0.114561733601659,1.16995020362283,178,0.5224719101123596,534
CAP,MID,3,CONSERVATIVE,all,-0.10996620732826934,-0.616149039248211,-0.6227188005718539,359,0.3955431754874652,1077
CAP,MID,3,CONSERVATIVE,development_2021_2023,-0.2958997049001695,-0.5990107020851061,-2.473097966886541,181,0.32044198895027626,543
CAP,MID,3,CONSERVATIVE,oos_2024_2026,0.13307085219207826,-0.1433049935077343,0.7628412121645755,178,0.47191011235955055,534
CAP,LARGE,3,BASE,all,0.06739234365219171,-0.31177108305806966,0.45512068915451626,359,0.4818941504178273,1077
CAP,LARGE,3,BASE,development_2021_2023,-0.1210415321099344,-0.2785377559878037,-0.8605700454008633,181,0.4419889502762431,543
CAP,LARGE,3,BASE,oos_2024_2026,0.30477332506708454,-0.13601335965236505,1.3581430061775923,178,0.5224719101123596,534
CAP,LARGE,3,CONSERVATIVE,all,-0.011198666578055905,-0.44586284381677577,0.028058974547363835,359,0.46518105849582175,1077
CAP,LARGE,3,CONSERVATIVE,development_2021_2023,-0.18542543614176565,-0.4081393597289653,-1.4017336540441705,181,0.4198895027624309,543
CAP,LARGE,3,CONSERVATIVE,oos_2024_2026,0.20779511980834386,-0.1661266273962838,0.9991957159532083,178,0.5112359550561798,534
LIQUIDITY,LOW,3,BASE,all,-0.13345237668162824,-0.5389495655423613,-1.1368464273579362,359,0.37604456824512533,1077
LIQUIDITY,LOW,3,BASE,development_2021_2023,-0.16651633528410148,-0.41288835678302815,-1.8035667667230024,181,0.3756906077348066,543
LIQUIDITY,LOW,3,BASE,oos_2024_2026,-0.09849855234505045,-0.33999438675077953,-0.6785087386236932,178,0.37640449438202245,534
LIQUIDITY,LOW,3,CONSERVATIVE,all,-0.19725539488221766,-0.6851753790955077,-1.7609488925008474,359,0.34818941504178275,1077
LIQUIDITY,LOW,3,CONSERVATIVE,development_2021_2023,-0.22756919982954993,-0.5031796829009987,-2.535559900430662,181,0.35359116022099446,543
LIQUIDITY,LOW,3,CONSERVATIVE,oos_2024_2026,-0.16550328853341367,-0.419207131039256,-1.2306184603338766,178,0.34269662921348315,534
LIQUIDITY,MID,3,BASE,all,-0.1053149904377666,-0.5026918671469294,-0.7229674939046845,359,0.415041782729805,1077
LIQUIDITY,MID,3,BASE,development_2021_2023,-0.19606967476152315,-0.44417692595861413,-1.7786650846609549,181,0.3812154696132597,543
LIQUIDITY,MID,3,BASE,oos_2024_2026,-0.0013390722087099904,-0.21319765644957311,0.07363874175326497,178,0.449438202247191,534
LIQUIDITY,MID,3,CONSERVATIVE,all,-0.17118973570600382,-0.6300134407979638,-1.2630674555721113,359,0.38440111420612816,1077
LIQUIDITY,MID,3,CONSERVATIVE,development_2021_2023,-0.25495775059141224,-0.5440235394023091,-2.3882539352881196,181,0.3370165745856354,543
LIQUIDITY,MID,3,CONSERVATIVE,oos_2024_2026,-0.07556525585194807,-0.28264207560106724,-0.4118396851093981,178,0.43258426966292135,534
LIQUIDITY,HIGH,3,BASE,all,0.09393861844428386,-0.5017437872593838,0.5417651573497837,359,0.4763231197771588,1077
LIQUIDITY,HIGH,3,BASE,development_2021_2023,-0.20222249149102178,-0.45644478489563034,-1.4840079348931876,181,0.425414364640884,543
LIQUIDITY,HIGH,3,BASE,oos_2024_2026,0.5160537625526473,-0.14016933606905113,1.7826591831844274,178,0.5280898876404494,534
LIQUIDITY,HIGH,3,CONSERVATIVE,all,0.013393033060703496,-0.6012203440748654,0.16935169756281648,359,0.4596100278551532,1077
LIQUIDITY,HIGH,3,CONSERVATIVE,development_2021_2023,-0.260659872121638,-0.5451701762097221,-1.9910607019733368,181,0.40331491712707185,543
LIQUIDITY,HIGH,3,CONSERVATIVE,oos_2024_2026,0.4033719885283673,-0.15837162359776913,1.4827577152013087,178,0.5168539325842697,534
CONCENTRATION,,1,BASE,all,0.07775957068601702,-0.6097648523024697,0.39784137263144076,359,0.467966573816156,359
CONCENTRATION,,1,BASE,development_2021_2023,-0.2982380792287359,-0.585280913149719,-1.4347102363371125,181,0.430939226519337,181
CONCENTRATION,,1,BASE,oos_2024_2026,0.6789243879571856,-0.19114795134068074,1.5833106899679092,178,0.5056179775280899,178
CONCENTRATION,,1,CONSERVATIVE,all,-0.0015947679030293704,-0.6921519901959541,0.14922543104795868,359,0.4401114206128134,359
CONCENTRATION,,1,CONSERVATIVE,development_2021_2023,-0.34964229661865387,-0.6577439543457178,-1.759086113532863,181,0.3867403314917127,181
CONCENTRATION,,1,CONSERVATIVE,oos_2024_2026,0.5541371388763183,-0.2174050553562391,1.3790099733233578,178,0.4943820224719101,178
CONCENTRATION,,3,BASE,all,0.07819773384604245,-0.4406616638727361,0.4878823292944887,359,0.5041782729805014,1077
CONCENTRATION,,3,BASE,development_2021_2023,-0.18916728201520017,-0.43608280903830476,-1.4040166634097186,181,0.4419889502762431,543
CONCENTRATION,,3,BASE,oos_2024_2026,0.44749324435247306,-0.13289064116300164,1.6998600148077565,178,0.5674157303370787,534
CONCENTRATION,,3,CONSERVATIVE,all,-0.0011888662498403813,-0.5312968076741134,0.09267712113878408,359,0.48746518105849584,1077
CONCENTRATION,,3,CONSERVATIVE,development_2021_2023,-0.2485609596549625,-0.5243810971179729,-1.9231956669304135,181,0.425414364640884,543
CONCENTRATION,,3,CONSERVATIVE,oos_2024_2026,0.33990727959937295,-0.13765536910909282,1.3765924743448255,178,0.550561797752809,534
CONCENTRATION,,5,BASE,all,0.018838274036461655,-0.47635183132897485,0.1982012065521728,359,0.5013927576601671,1795
CONCENTRATION,,5,BASE,development_2021_2023,-0.21041251579771802,-0.458724718486465,-1.8888019900183657,181,0.44751381215469616,905
CONCENTRATION,,5,BASE,oos_2024_2026,0.32565896772162195,-0.11846068598756065,1.5398824990141065,178,0.5561797752808989,890
CONCENTRATION,,5,CONSERVATIVE,all,-0.05617774954095478,-0.586640157089874,-0.2714255226304391,359,0.4568245125348189,1795
CONCENTRATION,,5,CONSERVATIVE,development_2021_2023,-0.26824997531915296,-0.5559543540711693,-2.483361414147325,181,0.3867403314917127,905
CONCENTRATION,,5,CONSERVATIVE,oos_2024_2026,0.2271284222200214,-0.13643475648804515,1.1514067596666773,178,0.5280898876404494,890
CONCENTRATION,,10,BASE,all,-0.06850201916186549,-0.5685209337864998,-0.4737346020156863,359,0.45403899721448465,3590
CONCENTRATION,,10,BASE,development_2021_2023,-0.25285949526652773,-0.5337392530828502,-2.9307881066674075,181,0.36464088397790057,1810
CONCENTRATION,,10,BASE,oos_2024_2026,0.1693147896334224,-0.10569919630813818,1.074697247473267,178,0.5449438202247191,1780
CONCENTRATION,,10,CONSERVATIVE,all,-0.13708726598031096,-0.659399826018314,-1.0525693304042578,359,0.4401114206128134,3590
CONCENTRATION,,10,CONSERVATIVE,development_2021_2023,-0.307587704064068,-0.6170761186258202,-3.616478082156258,181,0.34806629834254144,1810
CONCENTRATION,,10,CONSERVATIVE,oos_2024_2026,0.08240463635042183,-0.11730478317627635,0.5859253465722846,178,0.5337078651685393,1780
