name,factors,cost,period,cagr,max_drawdown,sharpe,calmar,active_days,active_win_rate,trade_rows
BASELINE,BASE,BASE,all,0.07819773384604245,-0.4406616638727361,0.4878823292944887,0.17745526842250137,359,0.5041782729805014,1077
BASELINE,BASE,BASE,development_2021_2023,-0.18916728201520017,-0.43608280903830476,-1.4040166634097186,-0.43378752405390975,181,0.4419889502762431,543
BASELINE,BASE,BASE,oos_2024_2026,0.44749324435247306,-0.13289064116300164,1.6998600148077565,3.367379677276029,178,0.5674157303370787,534
PLUS_DAY_RET,DAY_RET,BASE,all,-0.09305837900747815,-0.686607371900028,-0.3493430648317884,-0.13553361472068162,359,0.42896935933147634,1077
PLUS_DAY_RET,DAY_RET,BASE,development_2021_2023,-0.3240473406219162,-0.6471231414483702,-2.113869840886916,-0.5007506606805064,181,0.3812154696132597,543
PLUS_DAY_RET,DAY_RET,BASE,oos_2024_2026,0.227990745942529,-0.15848452467256435,0.96767829540561,1.4385678754034024,178,0.47752808988764045,534
PLUS_TAIL15,TAIL15,BASE,all,-0.11000429462067263,-0.576327535829797,-0.6164544271082342,-0.190871141463488,359,0.4206128133704735,1077
PLUS_TAIL15,TAIL15,BASE,development_2021_2023,-0.25979880747309403,-0.5367919902706173,-2.1409573072797383,-0.48398413572102583,181,0.3314917127071823,543
PLUS_TAIL15,TAIL15,BASE,oos_2024_2026,0.07597069421139357,-0.21274820384026616,0.4807152035609713,0.3570920592515707,178,0.5112359550561798,534
PLUS_CLOSE_VWAP,CLOSE_VWAP,BASE,all,-0.10883006044255483,-0.6246540128792679,-0.46067441992542263,-0.17422454382533412,359,0.4428969359331476,1077
PLUS_CLOSE_VWAP,CLOSE_VWAP,BASE,development_2021_2023,-0.2948674230750846,-0.6057028610756259,-1.9888578142815412,-0.48681860698404156,181,0.36464088397790057,543
PLUS_CLOSE_VWAP,CLOSE_VWAP,BASE,oos_2024_2026,0.1343017681768368,-0.1758101546252343,0.6581112110980765,0.763902224323283,178,0.5224719101123596,534
PLUS_RANGE_POS,RANGE_POS,BASE,all,-0.04392110376469016,-0.5980227796282651,-0.14158531415804848,-0.07344386411499543,359,0.4456824512534819,1077
PLUS_RANGE_POS,RANGE_POS,BASE,development_2021_2023,-0.28639653220251804,-0.5917482278739765,-1.9554332840492206,-0.4839837598356295,181,0.3756906077348066,543
PLUS_RANGE_POS,RANGE_POS,BASE,oos_2024_2026,0.2928910058841716,-0.15991070767882987,1.3411187673157352,1.8315909555751821,178,0.5168539325842697,534
PLUS_HIGH_HOLD,HIGH_HOLD,BASE,all,-0.12370858516374805,-0.6727648019092165,-0.7150764446845429,-0.18388088201505137,359,0.40947075208913647,1077
PLUS_HIGH_HOLD,HIGH_HOLD,BASE,development_2021_2023,-0.3254737806524375,-0.6495078129959642,-2.5468226984211775,-0.5011083379445966,181,0.3314917127071823,543
PLUS_HIGH_HOLD,HIGH_HOLD,BASE,oos_2024_2026,0.14744663327390728,-0.20353528025782386,0.8644333567235256,0.7244278883107267,178,0.4887640449438202,534
PLUS_RET60,RET60,BASE,all,-0.2288143349476799,-0.7853071429664551,-1.2614621141741633,-0.2913692266739688,359,0.39275766016713093,1077
PLUS_RET60,RET60,BASE,development_2021_2023,-0.4125515435938828,-0.7560393428578522,-3.0326382362209676,-0.5456747026344226,181,0.3149171270718232,543
PLUS_RET60,RET60,BASE,oos_2024_2026,0.020210333895544164,-0.22876702913675806,0.2027416904698454,0.08834460967477235,178,0.47191011235955055,534
PLUS_RET30,RET30,BASE,all,-0.1705048168738108,-0.740564796714366,-0.898495422617854,-0.23023618950061175,359,0.4206128133704735,1077
PLUS_RET30,RET30,BASE,development_2021_2023,-0.3881436051351239,-0.7188689698901105,-2.8313751779468124,-0.539936513318216,181,0.3370165745856354,543
PLUS_RET30,RET30,BASE,oos_2024_2026,0.13477385256397967,-0.15942601033063952,0.722557955783099,0.8453692862567856,178,0.5056179775280899,534
PLUS_AFTERNOON_RET,AFTERNOON_RET,BASE,all,-0.15809767003898667,-0.70514425480475,-0.799443289680605,-0.22420613790970037,359,0.4011142061281337,1077
PLUS_AFTERNOON_RET,AFTERNOON_RET,BASE,development_2021_2023,-0.3495045106723207,-0.6844492175350294,-2.5973792544968495,-0.5106361461424761,181,0.3425414364640884,543
PLUS_AFTERNOON_RET,AFTERNOON_RET,BASE,oos_2024_2026,0.09795708119377111,-0.23525047087049922,0.5371351051515679,0.41639483581605485,178,0.4606741573033708,534
BASELINE,BASE,CONSERVATIVE,all,-0.0011888662498403813,-0.5312968076741134,0.09267712113878408,-0.002237668724276634,359,0.48746518105849584,1077
BASELINE,BASE,CONSERVATIVE,development_2021_2023,-0.2485609596549625,-0.5243810971179729,-1.9231956669304135,-0.4740082375605587,181,0.425414364640884,543
BASELINE,BASE,CONSERVATIVE,oos_2024_2026,0.33990727959937295,-0.13765536910909282,1.3765924743448255,2.469262781388455,178,0.550561797752809,534
PLUS_DAY_RET,DAY_RET,CONSERVATIVE,all,-0.15983556608170568,-0.7504465396317157,-0.7077375377793013,-0.21298727842778187,359,0.40947075208913647,1077
PLUS_DAY_RET,DAY_RET,CONSERVATIVE,development_2021_2023,-0.37356102385194423,-0.7063652837601617,-2.5181979418948996,-0.5288496369235249,181,0.36464088397790057,543
PLUS_DAY_RET,DAY_RET,CONSERVATIVE,oos_2024_2026,0.13671946048018557,-0.17498304097146755,0.651447150532434,0.7813297775667233,178,0.4550561797752809,534
PLUS_TAIL15,TAIL15,CONSERVATIVE,all,-0.1755337712019056,-0.659249219651584,-1.0733387438339033,-0.2662631459687976,359,0.38997214484679665,1077
PLUS_TAIL15,TAIL15,CONSERVATIVE,development_2021_2023,-0.3140187101020546,-0.6200014741000515,-2.6644434128640615,-0.5064805862887037,181,0.30939226519337015,543
PLUS_TAIL15,TAIL15,CONSERVATIVE,oos_2024_2026,-0.004001592798886788,-0.24081362836977993,0.07780803679492142,-0.01661696983669947,178,0.47191011235955055,534
PLUS_CLOSE_VWAP,CLOSE_VWAP,CONSERVATIVE,all,-0.1744459946893815,-0.6968161393549565,-0.8345896571103526,-0.2503472362894269,359,0.4233983286908078,1077
PLUS_CLOSE_VWAP,CLOSE_VWAP,CONSERVATIVE,development_2021_2023,-0.3465185417808778,-0.6743913438638276,-2.417368831416245,-0.513824124425367,181,0.3425414364640884,543
PLUS_CLOSE_VWAP,CLOSE_VWAP,CONSERVATIVE,oos_2024_2026,0.04999398261266608,-0.21991755143533065,0.3285997535001843,0.2273305713271703,178,0.5056179775280899,534
