cost,portfolio,period,cagr,max_drawdown,sharpe,calmar,active_days,trade_rows
BASE,baseline,all,0.07819773384604245,-0.4406616638727361,0.4878823292944887,0.17745526842250137,359,1077
BASE,baseline,development_2021_2023,-0.18916728201520017,-0.43608280903830476,-1.4040166634097186,-0.43378752405390975,181,543
BASE,baseline,oos_2024_2026,0.44749324435247306,-0.13289064116300164,1.6998600148077565,3.367379677276029,178,534
BASE,h03_veto,all,0.05469203560404834,-0.4775681061115262,0.3804770452753104,0.1145219601228482,359,1077
BASE,h03_veto,development_2021_2023,-0.19818694626330002,-0.45235427240130577,-1.4833203441134972,-0.4381232992699108,181,543
BASE,h03_veto,oos_2024_2026,0.40002277073618075,-0.1200630597952147,1.62183646834759,3.3317722488372254,178,534
CONSERVATIVE,baseline,all,-0.0011888662498403813,-0.5312968076741134,0.09267712113878408,-0.002237668724276634,359,1077
CONSERVATIVE,baseline,development_2021_2023,-0.2485609596549625,-0.5243810971179729,-1.9231956669304135,-0.4740082375605587,181,543
CONSERVATIVE,baseline,oos_2024_2026,0.33990727959937295,-0.13765536910909282,1.3765924743448255,2.469262781388455,178,534
CONSERVATIVE,h03_veto,all,-0.022963863890512304,-0.5753307693402994,-0.02861146271059003,-0.039914193911171694,359,1077
CONSERVATIVE,h03_veto,development_2021_2023,-0.2569199314829269,-0.5381047708719116,-2.0011081485793767,-0.47745336111149844,181,543
CONSERVATIVE,h03_veto,oos_2024_2026,0.2959650826926401,-0.12392636679174329,1.282017057791192,2.38823335465007,178,534
