signal_date,instrument,signal_close,raw_mom20_rank,clean_mom20_rank,hit_count20,breadth,breadth5,money_effect,signal_weak_market,trade_date,exit_date,preclose,upper_limit,lower_limit,trade_status,is_st,h03_climax,h03_seal_n,h03_broken_ratio,h03_positive_ratio,signal_industry_code,day_open,px_1430,entry_1445,entry_volume,entry_amount,exit_open,exit_0935,exit_0940,exit_0945,exit_1000,intraday_ret,tail_ret,limit_gap,at_limit,base_executable,score,rank,net_return,portfolio,cost
2021-05-14,SZ300601,203.68,0.98856416772554,1.0,0.0,0.5893536121673003,0.11447970272756325,0.010954754059000087,False,2021-05-17,2021-05-18,203.68,244.42,162.94,1,0,False,0,1.0,0.6785714285714286,C27,218.2,200.48,200.89,170500.0,34326720.0,202.01,201.01,199.03,196.8,190.95,-0.07933088909257568,0.0020450917797285584,0.21668574841953303,False,True,1.0,1,-0.05185385919684515,BASELINE,BASE
2021-05-14,SH600132,170.55,0.9860228716645489,0.9987293519695044,0.0,0.5893536121673003,0.11447970272756325,0.010954754059000087,False,2021-05-17,2021-05-18,170.55,187.61,153.5,1,0,False,0,1.0,0.6470588235294118,C15,171.09,169.85,169.55,76280.0,12913184.0,171.3,175.48,173.39,174.64,179.3,-0.009001110526623335,-0.0017662643508977727,0.10651725154821579,False,True,0.9987293519695044,2,0.054863907840149606,BASELINE,BASE
2021-05-14,SZ300142,68.2,0.9847522236340533,0.9974587039390089,0.0,0.5893536121673003,0.11447970272756325,0.010954754059000087,False,2021-05-17,2021-05-18,68.2,81.84,54.56,1,0,False,0,1.0,0.6785714285714286,C27,71.0,70.22,70.19,1054100.0,74014720.0,69.01,70.2,69.05,68.5,67.8,-0.011408450704225359,-0.0004272287097693006,0.165978059552643,False,True,0.9974587039390089,3,-0.036463015736240445,BASELINE,BASE
2021-05-17,SZ300601,201.84,0.9911054637865311,1.0,0.0,0.0025348542458808465,0.12945367865288154,0.002292574385290557,False,2021-05-18,2021-05-19,201.84,242.21,161.47,1,0,False,0,0.0,0.6071428571428571,C27,202.01,186.85,188.45,149100.0,28112560.0,189.8,190.2,188.28,188.58,189.01,-0.06712538983218652,0.008563018464008643,0.28527460864950926,False,True,1.0,1,0.0004665620657657854,BASELINE,BASE
2021-05-17,SZ300142,70.0,0.9898348157560356,0.9987293519695044,0.0,0.0025348542458808465,0.12945367865288154,0.002292574385290557,False,2021-05-18,2021-05-19,70.0,84.0,56.0,1,0,False,0,0.0,0.6071428571428571,C27,69.01,68.51,68.46,1552400.0,106192240.0,69.99,69.99,70.13,69.66,68.7,-0.007969859440660976,-0.0007298204641660311,0.22699386503067487,False,True,0.9987293519695044,2,0.0009993143682756056,BASELINE,BASE
2021-05-17,SH600132,170.0,0.9834815756035579,0.9974587039390089,0.0,0.0025348542458808465,0.12945367865288154,0.002292574385290557,False,2021-05-18,2021-05-19,170.0,187.0,153.0,1,0,False,0,0.0,0.6470588235294118,C15,171.3,175.29,176.89,72000.0,12668784.0,172.73,171.55,172.47,170.63,170.0,0.03263280793928769,0.009127731188316446,0.0571541636045001,False,True,0.9974587039390089,3,-0.041351102377470306,BASELINE,BASE
2021-05-18,SZ300601,188.58,0.98856416772554,1.0,0.0,0.11406844106463876,0.10785112321098693,0.007772341506770107,False,2021-05-19,2021-05-20,188.58,226.3,150.86,1,0,False,1,0.5,0.4642857142857143,C27,189.8,184.0,185.97,46800.0,8677712.0,187.33,186.5,185.73,184.2,185.52,-0.02017913593256071,0.010706521739130448,0.21686293488197017,False,True,1.0,1,-0.004911327968668444,BASELINE,BASE
2021-05-18,SH600132,176.08,0.9872935196950444,0.9987293519695044,0.0,0.11406844106463876,0.10785112321098693,0.007772341506770107,False,2021-05-19,2021-05-20,176.08,193.69,158.47,1,0,False,0,0.0,0.7647058823529411,C15,172.73,167.29,167.88,72437.0,12168640.0,169.66,170.53,168.98,169.46,168.66,-0.028078504023620665,0.003526809731603908,0.1537407672146771,False,True,0.9987293519695044,2,0.00213694496018757,BASELINE,BASE
2021-05-18,SZ300142,68.81,0.9847522236340533,0.9974587039390089,0.0,0.11406844106463876,0.10785112321098693,0.007772341506770107,False,2021-05-19,2021-05-20,68.76,82.51,55.01,1,0,False,1,0.5,0.4642857142857143,C27,69.99,69.67,69.76,739800.0,51539520.0,69.0,70.09,70.65,70.01,70.49,-0.003286183740534243,0.001291804219893944,0.18276949541284404,False,True,0.9974587039390089,3,0.007940686787191842,BASELINE,BASE
2021-05-25,SH603355,52.51,0.9961880559085133,1.0,1.0,0.6780735107731305,0.010392902408111304,0.0017589058753685327,False,2021-05-26,2021-05-27,52.51,57.76,47.26,1,0,False,0,0.0,0.6285714285714286,C38,52.82,53.08,53.11,49500.0,2624365.0,53.4,53.61,53.0,52.92,52.78,0.005490344566452032,0.0005651846269780769,0.08755413293165137,False,True,1.0,1,-0.008695626529432565,BASELINE,BASE
