a,b,n_dates,mean_corr,mean_abs_corr,median_abs_corr,p90_abs_corr
BASE,LOW_VOL10,181,-0.21734010741495352,0.2373637978646106,0.2482168774621606,0.3966803250225709
BASE,PULLBACK5,181,-0.20079857851292804,0.21143665861541686,0.2085877640599088,0.3838633202061168
BASE,TREND_EFF20,181,0.5192529578753722,0.5192529578753722,0.5161553546874648,0.7762265932336748
BASE,TURNOVER_SWEET,181,0.1672264411486613,0.18063443515694727,0.17249740374925757,0.33264785805742086
BASE,LOW_ABS_GAP1,181,-0.10248202567450435,0.1338730048614559,0.12181103518538064,0.2624568572602164
BASE,HIGH_CLOSE_LOC1,181,0.024548877132490973,0.10711002444641601,0.09183992247320673,0.22066742350876511
BASE,LOW_UPPER_SHADOW1,181,-0.1473913547775526,0.16132428170962448,0.14486282194848824,0.31461488618167494
BASE,LOW_AMPLITUDE1,181,-0.2430203393817093,0.24652966182743702,0.24958695342543805,0.3950270175284452
BASE,LOW_TURNOVER_ACCEL5,181,0.013861081951543444,0.09444436141577156,0.08567032273337014,0.18453379018735883
BASE,HIGH_LIQUIDITY,181,0.21168323796031605,0.2170703585564837,0.21390163234823434,0.3553302611367126
BASE,SMALLER_FLOAT_CAP,181,-0.0873606614836486,0.10895404189704427,0.09816179761869234,0.20745288406624796
BASE,LOW_GAP_VOL10,181,-0.18361545232706336,0.19225232385958055,0.1751413634908781,0.3456334293821833
LOW_VOL10,PULLBACK5,181,0.27054396595526115,0.27850502606482247,0.26046031108305123,0.4753526858383075
LOW_VOL10,TREND_EFF20,181,0.15284796575908066,0.2127676353481714,0.18089680589680593,0.4229211541189976
LOW_VOL10,TURNOVER_SWEET,181,-0.41216231211623944,0.4128155249350747,0.4263543240431611,0.5751586472855958
LOW_VOL10,LOW_ABS_GAP1,181,0.2177611644250167,0.22262931910405942,0.22141818619625178,0.3602248073020436
LOW_VOL10,HIGH_CLOSE_LOC1,181,0.008124962339112245,0.1220905651269796,0.10468209410450695,0.2490718686465356
LOW_VOL10,LOW_UPPER_SHADOW1,181,0.20919130031162894,0.21844958694528152,0.22172787525182627,0.39180621350458006
LOW_VOL10,LOW_AMPLITUDE1,181,0.47304883151593535,0.47304883151593535,0.48271317488907417,0.6409082585607031
LOW_VOL10,LOW_TURNOVER_ACCEL5,181,0.05855622205328606,0.11462275345313402,0.10246204783205948,0.22660482374768084
LOW_VOL10,HIGH_LIQUIDITY,181,-0.3845689749937638,0.3845689749937638,0.38097964519982846,0.5717196752944307
LOW_VOL10,SMALLER_FLOAT_CAP,181,0.0699983920925344,0.1426343743045776,0.12043427751392352,0.2978436657681943
LOW_VOL10,LOW_GAP_VOL10,181,0.48134568739188965,0.48134568739188965,0.486830553116769,0.6179545754074593
PULLBACK5,TREND_EFF20,181,-0.2012136175493354,0.2152429509634136,0.20707947107147567,0.3768097992946545
PULLBACK5,TURNOVER_SWEET,181,-0.3134420272335788,0.3162060292649374,0.3204743781162962,0.47987877224084136
PULLBACK5,LOW_ABS_GAP1,181,0.1276572885333851,0.153632038537016,0.13171253447065642,0.3123848085127323
PULLBACK5,HIGH_CLOSE_LOC1,181,-0.23710717151873162,0.2475503967042663,0.24199893843822987,0.4316879983487224
PULLBACK5,LOW_UPPER_SHADOW1,181,0.1669810706865425,0.18842061971818427,0.18025281977707125,0.3602449137942969
PULLBACK5,LOW_AMPLITUDE1,181,0.37135148287847264,0.37437431888477213,0.38504371128585857,0.5573385784047752
PULLBACK5,LOW_TURNOVER_ACCEL5,181,0.12676322180100258,0.16822336819045156,0.14452570330432926,0.3482677062529617
PULLBACK5,HIGH_LIQUIDITY,181,-0.26555582543696266,0.2795702836541961,0.28706854642683516,0.45369790140432353
PULLBACK5,SMALLER_FLOAT_CAP,181,0.011407671768063826,0.13882710581748828,0.11619021812762491,0.28795343948832763
PULLBACK5,LOW_GAP_VOL10,181,0.10466713599525111,0.15176957558907112,0.13261360617702841,0.29208249404870906
TREND_EFF20,TURNOVER_SWEET,181,0.015784130065929,0.12248646151465166,0.1008147444726182,0.23987685027131173
