delay_bars,arm,exit,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows,paired_days,selected_mean,control_mean,selected_minus_control,selected_win_fraction,pnl_corr
0,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,all,,,,,,,64.0,-0.008602791660677511,-0.00839903841257783,-0.00020375324809968065,0.453125,0.5171935333264055
0,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,development_2021_2023,,,,,,,35.0,-0.01640856286742578,-0.009740653829646279,-0.006667909037779499,0.4,0.573423347276828
0,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,oos_2024_2026,,,,,,,29.0,0.0008179666922945373,-0.006779847391977978,0.007597814084272516,0.5172413793103449,0.49756918975625924
0,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,all,,,,,,,64.0,-0.009692767843627501,-0.009489238697338625,-0.00020352914628887601,0.453125,0.5171935570321378
0,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,development_2021_2023,,,,,,,35.0,-0.017489968375915658,-0.01082939034295316,-0.006660578032962498,0.4,0.573423347276828
0,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,oos_2024_2026,,,,,,,29.0,-0.0002823534081073119,-0.007871814297459015,0.007589460889351702,0.5172413793103449,0.4975691897562583
1,SELECTED_SUPPORT,OPEN,BASE,all,-0.2744045291355488,-0.8297465792574955,-1.4834685792369293,180.0,0.38333333333333336,272.0,,,,,,
1,SELECTED_SUPPORT,OPEN,BASE,development_2021_2023,-0.42021329489589654,-0.7650689925749575,-2.851044043284765,93.0,0.2903225806451613,138.0,,,,,,
1,SELECTED_SUPPORT,OPEN,BASE,oos_2024_2026,-0.0851971013568742,-0.37147383570425485,-0.29495685419752943,87.0,0.4827586206896552,134.0,,,,,,
1,SELECTED_SUPPORT,OPEN,CONSERVATIVE,all,-0.3017874991109005,-0.8570661823429002,-1.662532813639894,180.0,0.3611111111111111,272.0,,,,,,
1,SELECTED_SUPPORT,OPEN,CONSERVATIVE,development_2021_2023,-0.4424380053016098,-0.7874478649191259,-3.018848330686271,93.0,0.26881720430107525,138.0,,,,,,
1,SELECTED_SUPPORT,OPEN,CONSERVATIVE,oos_2024_2026,-0.11930285354523473,-0.407070029045123,-0.468821332873787,87.0,0.45977011494252873,134.0,,,,,,
1,SELECTED_SUPPORT,10:00,BASE,all,-0.10226848771709218,-0.5597592017609505,-0.2674335746293169,180.0,0.4222222222222222,272.0,,,,,,
1,SELECTED_SUPPORT,10:00,BASE,development_2021_2023,-0.19906852450876744,-0.5470464260736387,-0.7851761797970371,93.0,0.3978494623655914,138.0,,,,,,
1,SELECTED_SUPPORT,10:00,BASE,oos_2024_2026,0.010259224245941612,-0.37524096439122534,0.18478717401616168,87.0,0.4482758620689655,134.0,,,,,,
1,SELECTED_SUPPORT,10:00,CONSERVATIVE,all,-0.1361476339271459,-0.613775987293983,-0.4115204757935775,180.0,0.4111111111111111,272.0,,,,,,
1,SELECTED_SUPPORT,10:00,CONSERVATIVE,development_2021_2023,-0.229770280759658,-0.5703430058558787,-0.9425915742328856,93.0,0.3870967741935484,138.0,,,,,,
1,SELECTED_SUPPORT,10:00,CONSERVATIVE,oos_2024_2026,-0.02740533803216516,-0.40802477927333414,0.05308382695431862,87.0,0.4367816091954023,134.0,,,,,,
1,CONTROL_UNSUPPORTED,OPEN,BASE,all,-0.42079738833827607,-0.9521675859452597,-1.7786488219074943,304.0,0.41776315789473684,412.0,,,,,,
1,CONTROL_UNSUPPORTED,OPEN,BASE,development_2021_2023,-0.48966796607862006,-0.8334638932547406,-2.3811498258176935,175.0,0.4057142857142857,234.0,,,,,,
1,CONTROL_UNSUPPORTED,OPEN,BASE,oos_2024_2026,-0.3409348895131009,-0.7217827696448261,-1.229982443983058,129.0,0.43410852713178294,178.0,,,,,,
1,CONTROL_UNSUPPORTED,OPEN,CONSERVATIVE,all,-0.4572319052857138,-0.9643020770941769,-1.9977324224949062,304.0,0.3980263157894737,412.0,,,,,,
1,CONTROL_UNSUPPORTED,OPEN,CONSERVATIVE,development_2021_2023,-0.5258557685433611,-0.8608010946129637,-2.6380067029884824,175.0,0.38857142857142857,234.0,,,,,,
1,CONTROL_UNSUPPORTED,OPEN,CONSERVATIVE,oos_2024_2026,-0.3770382146279363,-0.7482843993007662,-1.4127099459957797,129.0,0.4108527131782946,178.0,,,,,,
1,CONTROL_UNSUPPORTED,10:00,BASE,all,-0.37896838845564107,-0.9523415605493348,-1.0274455120267894,304.0,0.4440789473684211,412.0,,,,,,
1,CONTROL_UNSUPPORTED,10:00,BASE,development_2021_2023,-0.4764468319363684,-0.816171817569534,-1.4739468756621539,175.0,0.4228571428571429,234.0,,,,,,
1,CONTROL_UNSUPPORTED,10:00,BASE,oos_2024_2026,-0.2599368968528869,-0.7407446517690931,-0.5671134726082175,129.0,0.4728682170542636,178.0,,,,,,
1,CONTROL_UNSUPPORTED,10:00,CONSERVATIVE,all,-0.4180341425115337,-0.9642357485004156,-1.1930621139687136,304.0,0.4342105263157895,412.0,,,,,,
1,CONTROL_UNSUPPORTED,10:00,CONSERVATIVE,development_2021_2023,-0.5135721491148604,-0.8483624947704779,-1.659622595012139,175.0,0.4114285714285714,234.0,,,,,,
