name,factors,cost,period,cagr,max_drawdown,sharpe,calmar,active_days,active_win_rate,trade_rows
BASELINE,BASE,BASE,all,0.07819773384604245,-0.4406616638727361,0.4878823292944887,0.17745526842250137,359,0.5041782729805014,1077
BASELINE,BASE,BASE,development_2021_2023,-0.18916728201520017,-0.43608280903830476,-1.4040166634097186,-0.43378752405390975,181,0.4419889502762431,543
BASELINE,BASE,BASE,oos_2024_2026,0.44749324435247306,-0.13289064116300164,1.6998600148077565,3.367379677276029,178,0.5674157303370787,534
PLUS_LOW_VOL10,LOW_VOL10,BASE,all,-0.07176609912385001,-0.41934989982346815,-0.5642836869508703,-0.1711365595987052,359,0.43175487465181056,1076
PLUS_LOW_VOL10,LOW_VOL10,BASE,development_2021_2023,-0.15516654277242659,-0.38908527269584436,-1.4321958079181618,-0.3987982934880276,181,0.4088397790055249,543
PLUS_LOW_VOL10,LOW_VOL10,BASE,oos_2024_2026,0.022653829159530847,-0.21786903339401664,0.24359946904530558,0.10397911445524866,178,0.4550561797752809,533
PLUS_LOW_EXTENSION_MA20,LOW_EXTENSION_MA20,BASE,all,-0.112072636206903,-0.5821818276855979,-0.8884730727276207,-0.192504525007996,359,0.415041782729805,1077
PLUS_LOW_EXTENSION_MA20,LOW_EXTENSION_MA20,BASE,development_2021_2023,-0.22018036152251586,-0.49194014137007047,-2.085441628707844,-0.4475755137795949,181,0.35359116022099446,543
PLUS_LOW_EXTENSION_MA20,LOW_EXTENSION_MA20,BASE,oos_2024_2026,0.014762459743944634,-0.17326219629134465,0.17825860323732087,0.08520300480966543,178,0.47752808988764045,534
PLUS_PULLBACK5,PULLBACK5,BASE,all,-0.03154279105840807,-0.3940249893948985,-0.13933157680002423,-0.08005276799029452,359,0.44846796657381616,1077
PLUS_PULLBACK5,PULLBACK5,BASE,development_2021_2023,-0.10731959090398557,-0.2897610608171034,-0.8833613541945531,-0.37037271537228905,181,0.4088397790055249,543
PLUS_PULLBACK5,PULLBACK5,BASE,oos_2024_2026,0.053297625099720136,-0.21932022985261412,0.3868132416951449,0.24301280887557336,178,0.4887640449438202,534
PLUS_TREND_EFF20,TREND_EFF20,BASE,all,0.009311113492528333,-0.4316464018566971,0.14089017317728256,0.021571159755941954,359,0.46518105849582175,1077
PLUS_TREND_EFF20,TREND_EFF20,BASE,development_2021_2023,-0.16907096930381516,-0.42916733552735775,-1.2905466679915099,-0.39395115915814505,181,0.430939226519337,543
PLUS_TREND_EFF20,TREND_EFF20,BASE,oos_2024_2026,0.23378613782431046,-0.12507147920739525,1.1833182032425107,1.869220219556555,178,0.5,534
PLUS_AMOUNT_SWEET,AMOUNT_SWEET,BASE,all,-0.11794907618649164,-0.6677228743785185,-0.6122638118512951,-0.17664375553446848,359,0.42896935933147634,1077
PLUS_AMOUNT_SWEET,AMOUNT_SWEET,BASE,development_2021_2023,-0.31475195884792884,-0.6431304197092975,-2.5414928687867326,-0.4894061129781428,181,0.3756906077348066,543
PLUS_AMOUNT_SWEET,AMOUNT_SWEET,BASE,oos_2024_2026,0.144079775956776,-0.18547522532713545,0.7582005443637131,0.7768141308503741,178,0.48314606741573035,534
PLUS_TURNOVER_SWEET,TURNOVER_SWEET,BASE,all,0.04041641614906322,-0.5245886877324608,0.29966345671565114,0.07704401008676631,359,0.49025069637883006,1077
PLUS_TURNOVER_SWEET,TURNOVER_SWEET,BASE,development_2021_2023,-0.24024510413599265,-0.4948064661533478,-1.7661578637880206,-0.48553347736878033,181,0.430939226519337,543
PLUS_TURNOVER_SWEET,TURNOVER_SWEET,BASE,oos_2024_2026,0.43958910623101133,-0.12055700864145524,1.6291753837783705,3.646317299879091,178,0.550561797752809,534
BASELINE,BASE,CONSERVATIVE,all,-0.0011888662498403813,-0.5312968076741134,0.09267712113878408,-0.002237668724276634,359,0.48746518105849584,1077
BASELINE,BASE,CONSERVATIVE,development_2021_2023,-0.2485609596549625,-0.5243810971179729,-1.9231956669304135,-0.4740082375605587,181,0.425414364640884,543
BASELINE,BASE,CONSERVATIVE,oos_2024_2026,0.33990727959937295,-0.13765536910909282,1.3765924743448255,2.469262781388455,178,0.550561797752809,534
PLUS_LOW_VOL10,LOW_VOL10,CONSERVATIVE,all,-0.14011101506189294,-0.5862191482758297,-1.2006362021857389,-0.23900791278139463,359,0.38440111420612816,1076
PLUS_LOW_VOL10,LOW_VOL10,CONSERVATIVE,development_2021_2023,-0.2170507821536014,-0.4923675517393632,-2.080408378679337,-0.44083080086580956,181,0.3425414364640884,543
PLUS_LOW_VOL10,LOW_VOL10,CONSERVATIVE,oos_2024_2026,-0.05335564394015124,-0.2947024327370086,-0.374445297739876,-0.18104921443850325,178,0.42696629213483145,533
PLUS_LOW_EXTENSION_MA20,LOW_EXTENSION_MA20,CONSERVATIVE,all,-0.1774498229054794,-0.6646960404811296,-1.4911369996899642,-0.2669638633277177,359,0.38997214484679665,1077
PLUS_LOW_EXTENSION_MA20,LOW_EXTENSION_MA20,CONSERVATIVE,development_2021_2023,-0.2773023241635889,-0.5734662732553358,-2.699409238550663,-0.4835547216917499,181,0.3370165745856354,543
PLUS_LOW_EXTENSION_MA20,LOW_EXTENSION_MA20,CONSERVATIVE,oos_2024_2026,-0.06066048171207805,-0.20710831277520048,-0.4014592190063809,-0.292892549310274,178,0.4438202247191011,534
PLUS_PULLBACK5,PULLBACK5,CONSERVATIVE,all,-0.10284930816819049,-0.5232324977368928,-0.6517615860277827,-0.19656521453281023,359,0.4011142061281337,1077
PLUS_PULLBACK5,PULLBACK5,CONSERVATIVE,development_2021_2023,-0.17270863019306548,-0.41670523823160044,-1.5054490567692573,-0.41446234495635453,181,0.35911602209944754,543
PLUS_PULLBACK5,PULLBACK5,CONSERVATIVE,oos_2024_2026,-0.024989469925168373,-0.25210391743848715,-0.05747725271268561,-0.09912368748203111,178,0.4438202247191011,534
PLUS_TREND_EFF20,TREND_EFF20,CONSERVATIVE,all,-0.06500343496542926,-0.5302626544231335,-0.31666229423273423,-0.12258723940524482,359,0.44846796657381616,1077
PLUS_TREND_EFF20,TREND_EFF20,CONSERVATIVE,development_2021_2023,-0.22993670633690644,-0.49803888268364493,-1.8337694526661323,-0.46168424661526397,181,0.4198895027624309,543
PLUS_TREND_EFF20,TREND_EFF20,CONSERVATIVE,oos_2024_2026,0.14208410573903496,-0.16797559354504898,0.7874624988393156,0.8458616084659332,178,0.47752808988764045,534
PLUS_AMOUNT_SWEET,AMOUNT_SWEET,CONSERVATIVE,all,-0.18289358659944543,-0.739010820111041,-1.0381427588651395,-0.247484315009034,359,0.415041782729805,1077
