family,label,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows
market_amount_axis,RISING,BASE,all,-0.12446127795065598,-0.6449211570087322,-0.4602283701588103,583,0.45454545454545453,1749
market_amount_axis,RISING,BASE,development_2021_2023,-0.29736611017031944,-0.5984857254784848,-1.788646066872356,299,0.40468227424749165,897
market_amount_axis,RISING,BASE,oos_2024_2026,0.09816531881961876,-0.3604409128659336,0.4886616485664507,284,0.5070422535211268,852
market_amount_axis,RISING,CONSERVATIVE,all,-0.22672201989710594,-0.786396501817482,-0.9997002138309874,583,0.4322469982847341,1749
market_amount_axis,RISING,CONSERVATIVE,development_2021_2023,-0.3803400961705561,-0.7107102116951425,-2.445189195451278,299,0.38127090301003347,897
market_amount_axis,RISING,CONSERVATIVE,oos_2024_2026,-0.029151205757815157,-0.4156051239407347,0.025624370883103844,284,0.4859154929577465,852
market_amount_axis,NOT_RISING,BASE,all,-0.2806835410543015,-0.8987705329205272,-1.2932978013214382,670,0.42388059701492536,2010
market_amount_axis,NOT_RISING,BASE,development_2021_2023,-0.4173908508796621,-0.7953297279389683,-2.6999087481341526,342,0.38596491228070173,1026
market_amount_axis,NOT_RISING,BASE,oos_2024_2026,-0.10708445263941035,-0.5106021520165278,-0.28341684262457756,328,0.4634146341463415,984
market_amount_axis,NOT_RISING,CONSERVATIVE,all,-0.37636429353727296,-0.9433682786700966,-1.9003332513877547,670,0.40298507462686567,2010
market_amount_axis,NOT_RISING,CONSERVATIVE,development_2021_2023,-0.4953933808420097,-0.8570085533939826,-3.4188728706047256,342,0.3684210526315789,1026
market_amount_axis,NOT_RISING,CONSERVATIVE,oos_2024_2026,-0.2255328074741122,-0.6059527968158593,-0.8143166674793292,328,0.43902439024390244,984
active_share_axis,RISING,BASE,all,-0.2146477030743157,-0.8125819738460057,-0.8857873370459343,628,0.43630573248407645,1884
