SH600000	2014-01-02	2026-09-03
SH600004	2014-01-02	2017-01-02
SH600004	2018-01-02	2021-08-01
SH600004	2024-01-02	2026-09-03
SH600005	2015-07-01	2017-02-28
SH600006	2014-01-02	2023-07-02
SH600007	2025-01-02	2026-06-30
SH600008	2014-01-02	2026-09-03
SH600009	2014-01-02	2026-09-03
SH600010	2014-01-02	2026-09-03
SH600011	2014-01-02	2017-01-02
SH600011	2018-01-02	2026-09-03
SH600015	2014-01-02	2026-09-03
SH600016	2014-01-02	2026-09-03
SH600017	2014-01-02	2021-01-03
SH600018	2014-01-02	2026-09-03
SH600019	2014-01-02	2026-09-03
SH600021	2014-01-02	2026-09-03
SH600022	2016-01-04	2025-01-01
SH600023	2014-07-01	2020-06-30
SH600023	2024-01-02	2026-09-03
SH600025	2018-07-02	2026-09-03
SH600026	2014-01-02	2023-07-02
SH600026	2024-07-01	2026-09-03
SH600027	2014-01-02	2017-01-02
SH600027	2019-01-02	2024-01-01
SH600027	2024-07-01	2026-09-03
SH600028	2014-01-02	2026-09-03
SH600029	2014-01-02	2026-09-03
SH600030	2014-01-02	2026-09-03
SH600031	2014-01-02	2026-09-03
SH600032	2023-04-03	2026-09-03
SH600036	2014-01-02	2026-09-03
SH600037	2014-01-02	2016-01-03
SH600037	2016-07-01	2023-04-02
SH600038	2014-01-02	2026-09-03
SH600039	2014-01-02	2026-09-03
SH600048	2014-01-02	2026-09-03
SH600050	2014-01-02	2026-09-03
SH600053	2016-07-01	2021-08-01
SH600054	2014-01-02	2015-01-04
SH600056	2014-01-02	2026-01-04
SH600058	2014-01-02	2021-01-03
SH600059	2014-01-02	2018-07-01
SH600060	2014-01-02	2026-09-03
SH600061	2016-07-01	2026-09-03
SH600062	2014-01-02	2026-09-03
SH600063	2014-01-02	2014-06-30
SH600064	2014-01-02	2023-07-02
SH600066	2014-01-02	2026-09-03
SH600067	2014-01-02	2017-07-02
SH600068	2014-01-02	2021-10-07
SH600069	2014-01-02	2014-06-30
SH600073	2014-01-02	2021-08-01
SH600074	2016-01-04	2018-07-01
SH600078	2014-01-02	2015-06-30
SH600079	2014-01-02	2026-02-01
SH600085	2014-01-02	2026-09-03
SH600086	2014-01-02	2019-06-30
SH600088	2014-01-02	2017-07-02
SH600089	2014-01-02	2022-02-06
SH600089	2022-07-01	2026-09-03
SH600094	2014-01-02	2015-01-04
SH600094	2016-01-04	2022-02-06
SH600095	2021-08-02	2026-09-03
SH600096	2014-01-02	2015-01-04
SH600096	2022-07-01	2026-06-30
SH600098	2015-01-05	2015-06-30
SH600098	2016-07-01	2020-06-30
SH600098	2024-07-01	2026-09-03
SH600100	2014-01-02	2020-06-30
SH600100	2026-07-01	2026-09-03
SH600104	2014-01-02	2026-09-03
SH600105	2026-07-01	2026-09-03
SH600106	2014-01-02	2014-06-30
SH600108	2014-01-02	2019-01-01
SH600109	2014-01-02	2026-09-03
SH600110	2014-01-02	2016-01-03
SH600111	2014-01-02	2026-09-03
SH600112	2014-01-02	2017-07-02
SH600115	2014-01-02	2026-09-03
SH600117	2014-01-02	2014-06-30
SH600118	2014-01-02	2026-09-03
SH600120	2014-01-02	2023-04-02
SH600121	2014-01-02	2014-06-30
SH600122	2014-01-02	2019-06-30
SH600123	2014-01-02	2015-01-04
SH600125	2014-01-02	2021-01-03
SH600126	2017-07-03	2026-09-03
SH600129	2024-01-02	2025-06-30
SH600131	2021-01-04	2026-09-03
SH600132	2014-01-02	2017-01-02
SH600132	2020-01-02	2026-09-03
SH600138	2014-01-02	2021-01-03
SH600139	2014-01-02	2015-01-04
SH600141	2014-01-02	2026-09-03
SH600143	2014-01-02	2026-09-03
SH600150	2014-01-02	2018-01-01
SH600150	2020-01-02	2020-06-30
SH600150	2021-01-04	2026-09-03
SH600151	2014-01-02	2020-01-01
SH600153	2014-01-02	2026-09-03
SH600155	2018-01-02	2026-01-04
SH600157	2014-01-02	2019-06-30
SH600157	2022-02-07	2026-09-03
SH600158	2014-01-02	2022-06-30
SH600160	2014-01-02	2024-06-30
SH600160	2025-01-02	2026-09-03
SH600161	2014-01-02	2026-09-03
SH600162	2014-01-02	2015-06-30
SH600166	2014-01-02	2026-09-03
SH600167	2018-07-02	2024-06-30
SH600169	2014-07-01	2020-01-01
SH600170	2014-01-02	2026-09-03
SH600171	2014-01-02	2024-01-01
SH600171	2025-07-01	2026-09-03
SH600175	2014-07-01	2017-07-02
SH600176	2014-01-02	2026-09-03
SH600177	2014-01-02	2026-09-03
SH600179	2018-01-02	2020-01-01
SH600180	2014-01-02	2017-07-02
SH600183	2014-01-02	2026-09-03
SH600184	2014-01-02	2019-06-30
SH600187	2014-07-01	2019-01-01
SH600188	2014-01-02	2026-09-03
SH600195	2014-01-02	2024-01-01
SH600196	2014-01-02	2026-09-03
SH600197	2014-01-02	2015-06-30
SH600198	2014-01-02	2018-01-01
SH600199	2014-01-02	2016-01-03
SH600200	2014-01-02	2018-01-01
SH600201	2014-07-01	2023-07-02
SH600208	2014-01-02	2026-09-03
SH600216	2014-01-02	2023-07-02
SH600219	2014-01-02	2022-02-06
SH600219	2022-07-01	2026-09-03
SH600220	2014-01-02	2018-01-01
SH600221	2014-01-02	2021-01-03
SH600221	2026-07-01	2026-09-03
